csv_ApplicantFirst,csv_ApplicantMiddle,csv_ApplicantLast,csv_ApplicantStreet,csv_ApplicantCity,csv_ApplicantState,csv_ApplicantStateID,csv_ApplicantZip,csv_ApplicantSSN,csv_ApplicantDOB
PAMELA,,REDMAN,50 HOTCHKISS ST,NEW HAVEN,CT,11,06511,666-40-3391,1/2/1990
LOVELESS,,BABIES         JR,4066 LINDELL,SAINT LOUIS,MO,32,63108,666-16-2160,1/3/1990
NICK,,BUZZETTA,12497 GREENE,LOS ANGELES,CA,9,90066,666-16-2167,1/4/1990
EDMUND,,BRADLEY,243 N CORDOVA,BURBANK,CA,9,91505,666-16-2175,1/5/1990
PEGGY,L,FINCH,1609 N LIVINGSTON,INDIANAPOLIS,IN,22,46222,666-16-2223,1/6/1990
TERI,L,MOORE,1721 ELM,BELMAR,NJ,39,07719,666-16-2412,1/7/1990
COLLEEN,Y,BELL,1035 NW 27TH,CORVALLIS,OR,46,97330,666-16-2443,1/8/1990
GENEVA,K,BOGUE,5100 20TH,KENOSHA,WI,60,53140,666-16-2496,1/9/1990
MARY,J,BURTON,1874 PELHAN PARK S,BRONX,NY,43,10461,666-16-2544,1/10/1990
KATHERINE,,BLACKMON,404 HICKORY,ATLANTIC,IA,19,50022,666-16-2951,1/11/1990
HEATHER,,BROWN,6 HARUGARI,ATHOL,MA,26,01331,666-16-3014,1/12/1990
KAREN,O,BLOUNT         III,510 7TH N,FARGO,ND,36,58102,666-16-3077,1/13/1990
MIKE,R,MAURY,42 HEATHER,WINCHESTER,KY,24,40391,666-16-3084,1/14/1990
JOSE,J,ALVAREZ,1963 N CAHUENGA,LOS ANGELES,CA,9,90068,666-16-3223,1/15/1990
PETER,L,LIBBY,1234 S LOARA,ANAHEIM,CA,9,92802,666-16-3274,1/16/1990
GARY,,HOGLE,1801 COBOURG,BALTIMORE,MD,27,21234,666-16-3276,1/17/1990
DIANA,D,ALFRED,PO BOX 166,PILOT MOUNTAIN,NC,35,27041,666-16-3301,1/18/1990
MARINA,E,CARAHONIA,2601 HUGHITT,SUPERIOR,WI,60,54880,666-16-3365,1/19/1990
CARRIE,A,GOODSON        SR,47 N ELECTRIC,ALHAMBRA,CA,9,91801,666-16-3422,1/20/1990
CARL,H,BRAUN,HQBN 3 DMARDIV UNIT 3590,FPO,NY,43,96602,666-16-3522,1/21/1990
OREATHER,J,BOSTICK,691 IROLO,LOS ANGELES,CA,9,90005,666-16-3578,1/22/1990
LAURENTE,,DEGUZMAN,432 ELM,LUDLOW,KY,24,41016,666-16-3732,1/23/1990
MARION,G,BROWN,917 AUSTIN,PASADENA,TX,54,77502,666-16-3740,1/24/1990
SHIRLEY,A,DURHAM,608 HUB EVERHART,THOMASVILLE,NC,35,27360,666-16-3745,1/25/1990
BARBARA,B,BATTERSBY,19 SPRUCE,HO HO KUS,NJ,39,07423,666-16-3810,1/26/1990
MELISSA,M,BOCH,3463A S SPRING,SAINT LOUIS,MO,32,63116,666-16-3849,1/27/1990
MARY,R,MILLIEN,PO BOX 1532,DE SOTO,TX,54,75123,666-16-3856,1/28/1990
BEN,M,DUNLAN,4055 S UNIVERSITY,FARGO,ND,36,58104,666-16-3885,1/29/1990
ROLAND,,BOYER,8704 W 106TH,OVERLAND PARK,KS,23,66212,666-16-3920,1/30/1990
ADRIANA,,EVANS,224 BROADWAY,CENTREVILLE,MD,27,21617,666-16-4168,1/31/1990
DANIEL,,BORTLE,PO BOX 57,ARLINGTON,VA,56,22210,666-16-4252,2/1/1990
KERRY,,LANCOUR,7887 N LACHOLLA 1072,TUCSON,AZ,8,85741,666-16-4350,2/2/1990
WILLIAM,A,MUNDY,211 N 7TH,HANNIBAL,MO,32,63401,666-16-4456,2/3/1990
JANE,F,BOLDT,11 TIMBERBLUFF,PLANO,TX,54,75094,666-16-4462,2/4/1990
JOEL,W,BRAZELTON,1409 LUNDAHL,INDIANOLA,IA,19,50125,666-16-4726,2/5/1990
MARY,J,HUGHES,16606 N 31ST,PHOENIX,AZ,8,85032,666-16-4765,2/6/1990
LINDA,J,BREITHAUPT,6060 CRAPE MYRTLE,WOODLAND HILLS,CA,9,91367,666-16-4798,2/7/1990
TYRONICA,D,CHESTNUTT,1329 S KIRKMAN,ORLANDO,FL,14,32811,666-16-4801,2/8/1990
CLARRISA,,BELL,1825 BORLAND,PITTSBURGH,PA,47,15243,666-16-4864,2/9/1990
PAULA,M,BROWN,48 BLOOMINGDALE,EAST GREENBUSH,NY,43,12061,666-16-4928,2/10/1990
JULIE,,BREWSTER,7536 BRANDAU,LEVERING,MI,30,49755,666-16-5047,2/11/1990
W,J,BIRNIE,4308 W JACKSON,INDIANAPOLIS,IN,22,46241,666-16-5104,2/12/1990
ESTELA,F,JACKSON,605 TRENTON,TORONTO,OH,44,43964,666-16-5107,2/13/1990
SANDRA,,ARMANDO,12403 CENTERBROOK,FLORISSANT,MO,32,63033,666-16-5211,2/14/1990
GRANT,J,ANHALT,590 CS CO SUP SVC,FORT ORD,CA,9,93941,666-16-5318,2/15/1990
SHERYL,L,MACARTHUR,103 EARL N,LEHIGH ACRES,FL,14,33971,666-16-5363,2/16/1990
MARY,,BAS,1038 N HARPER,LOS ANGELES,CA,9,90046,666-16-5373,2/17/1990
DENNIS,,HEIZER,3129 DELOR,SAINT LOUIS,MO,32,63111,666-16-5378,2/18/1990
WILLIAM,H,BROWN          SR,144 SOUTHFORK,GHENT,KY,24,41045,666-16-5397,2/19/1990
BYRON,L,BRILEY         II,224 TAYLOR,LEXINGTON,KY,24,40511,666-16-5403,2/20/1990
DAVID,,BENTLEY,1868 N UNIVERSITY,FORT LAUDERDALE,FL,14,33322,666-16-5544,2/21/1990
TRACY,A,DEN DULK,598A RR2,HALEYVILLE,AL,4,35565,666-16-5632,2/22/1990
TAMI,E,BURMAN,671 JAMESTOWN,ALTAMONTE SPRIN,FL,14,32714,666-16-5682,2/23/1990
PAT,,CAUDELL,1044 N COUNTY ROAD 600 E,DANVILLE,IN,22,46122,666-16-5700,2/24/1990
L,E,HARPER,6606 RIDGETREE,ARLINGTON,TX,54,76017,666-16-5788,2/25/1990
SHIRLEY,,ANDREWS,PO BOX 660,LANESBORO,MA,26,01237,666-16-5791,2/26/1990
MATTHEW,L,LIDDI,2602 CMR 454 BOX 2602,APO,AE,2,09250,666-16-5801,2/27/1990
PATTY,A,HUMPHREY,609 CALIFORNIA AVEFLR,PITTSBURGH,PA,47,15202,666-16-5891,2/28/1990
RUSUS,S,BROWN          JR,8651 MARVALE,HUNTINGTON BEAC,CA,9,92646,666-16-6036,3/1/1990
JIMMIE,M,MILLER,1420 CENTERHILL,MORGANTOWN,WV,61,26505,666-16-6155,3/2/1990
MARGARET,,CHECKUR,16465 HENDERSON,SAN ANTONIO,TX,54,78232,666-16-6238,3/3/1990
SERENE,A,MORETTO,4622 ORKNEY,MISSOURI CITY,TX,54,77459,666-16-6461,3/4/1990
ALSIE,P,METCALF        JR,8 ASHLEYVILLE,BAYTOWN,TX,54,77521,666-16-6464,3/5/1990
HARRY,R,BERGERT,GENERAL DELIVERY,TULSA,OK,45,74103,666-16-6559,3/6/1990
ANTHALENA,,BROWN,514 EVERGREEN,HIGHLANDS,TX,54,77562,666-16-6602,3/7/1990
BABARA,C,JUMP,4032 BOREN,PLANO,TX,54,75023,666-16-6604,3/8/1990
KENNETH,C,BOTS,807 WYLIE,NORMAN,OK,45,73069,666-16-6659,3/9/1990
MARTHA,L,BAUMGARTNER,281 CHAUNCEY WALKER LOT 97F,BELCHERTOWN,MA,26,01007,666-16-6805,3/10/1990
SHARI,A,HARMS,14855 MEMORIAL,HOUSTON,TX,54,77079,666-16-6906,3/11/1990
CLARA,W,HACKNEY,PO BOX 471,SHARPSVILLE,IN,22,46068,666-16-6916,3/12/1990
WILLIAM,A,BYRD           SR,PO BOX 91225,ATLANTA,GA,16,30364,666-16-7027,3/13/1990
CLETA,D,HUNT,10 S MAIN,PALMER,MA,26,01069,666-16-7126,3/14/1990
DANA,S,DILLOW,158 CENTRAL,ROCKLAND,MA,26,02370,666-16-7185,3/15/1990
